CODE,YEAR,MONTH,LAT,LON,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,ALLSKY_SRF_ALB,CLOUD_AMT,CLRSKY_SFC_PAR_TOT,CLRSKY_SFC_SW_DWN,GWETPROF,GWETROOT,GWETTOP,PRECTOTCORR,PRECTOTCORR_SUM,PS,QV2M,RH2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TOA_SW_DWN,TS,MAIZE,WHEAT,RICE,SOYBEAN
AST,1993,8,-26.0,128.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,0.24,0.31,9.68,95.11,4.17,41.83,14.31,-0.03,7.14,29.44,1.44,15.38,0.0,15.01,0.0,0.0,0.0,0.0
AST,1988,11,-25.5,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.29,0.12,0.24,7.21,95.91,4.86,22.83,26.58,1.89,14.24,43.66,11.45,16.66,0.0,29.39,0.0,0.0,0.0,0.0
AST,1999,6,-30.5,130.5,24.9,5.59,4.5,0.0,12.41,0.0,0.0,0.0,0.0,23.38,0.0,13.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.34,0.0,0.0,0.0,0.0,0.0
ARG,2023,2,-33.0,-63.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.4,0.41,2.03,56.84,98.17,9.6,53.44,24.0,12.35,18.18,40.53,5.52,16.46,0.0,23.88,0.0,0.0,0.0,0.0
AST,1985,4,-20.5,133.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.19,0.15,0.35,10.44,97.2,5.75,30.39,24.59,4.55,14.57,38.94,12.56,13.88,0.0,25.71,0.0,0.0,0.0,0.0
AST,1987,7,-24.5,127.5,25.26,7.41,3.44,0.0,16.58,0.0,0.0,0.0,0.0,12.42,0.0,17.03,0.17,0.17,0.11,0.01,0.19,96.75,3.79,38.57,14.1,-0.99,6.56,27.93,3.21,15.6,22.7,14.43,0.0,0.0,0.0,0.0
AST,1984,3,-23.0,129.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.26,1.67,51.85,96.19,9.1,40.14,27.23,10.82,19.03,39.42,15.65,13.11,0.0,28.75,0.0,0.0,0.0,0.0
ARG,2022,3,-28.0,-65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.61,0.63,9.85,305.45,95.95,11.85,71.0,21.48,15.24,18.36,39.42,6.77,11.82,0.0,21.72,0.0,0.0,0.0,0.0
AST,1997,6,-29.0,132.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.22,0.29,8.72,99.61,4.98,56.96,12.59,3.4,8.0,24.22,1.96,12.21,0.0,12.96,0.0,0.0,0.0,0.0
AST,1996,2,-27.5,126.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.13,0.5,14.42,95.85,5.65,24.2,29.03,3.71,16.37,45.34,13.93,17.32,0.0,31.69,0.0,0.0,0.0,0.0
ARG,2023,4,-37.5,-65.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,0.36,1.17,35.21,98.28,7.26,59.55,16.97,8.3,12.63,32.12,3.67,12.98,0.0,17.24,923.03,0.0,706.33,0.0
AST,1996,2,-27.5,124.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.15,0.54,15.57,96.26,5.94,24.21,29.82,4.43,17.13,43.38,15.48,16.81,0.0,32.48,0.0,0.0,0.0,0.0
AST,1984,8,-23.5,124.5,29.48,9.01,4.01,0.0,19.83,0.0,0.0,0.0,0.0,21.29,0.0,21.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.41,0.0,0.0,0.0,0.0,0.0
AST,1991,7,-23.5,127.5,28.11,7.31,4.18,0.0,16.32,0.0,0.0,0.0,0.0,11.45,0.0,16.84,0.15,0.15,0.15,0.51,15.67,96.77,4.1,34.91,16.74,-0.17,8.28,29.42,3.59,15.56,23.24,17.07,0.0,0.0,0.0,0.0
AST,1993,11,-26.0,129.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.16,0.26,7.75,93.35,5.17,23.29,27.42,2.55,14.98,41.45,13.22,17.22,0.0,29.97,0.0,0.0,0.0,0.0
AST,1988,1,-26.5,128.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.15,0.23,7.2,95.29,6.5,22.82,31.43,6.19,18.81,46.03,16.82,16.31,0.0,34.16,0.0,0.0,0.0,0.0
AST,1991,6,-23.5,126.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.21,0.58,17.26,97.25,6.22,46.0,18.66,5.9,12.28,32.71,7.63,13.57,0.0,19.16,0.0,0.0,0.0,0.0
AST,1990,2,-30.5,128.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.34,0.27,1.5,42.05,99.58,8.02,50.73,22.66,10.15,16.41,37.8,11.2,14.82,0.0,25.27,0.0,0.0,0.0,0.0
AST,2001,4,-26.5,128.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.35,0.3,0.38,11.37,95.99,5.98,42.22,20.09,5.09,12.59,33.36,8.78,16.11,0.0,20.99,942.83,0.0,1222.52,496.87
ARG,2022,7,-30.5,-63.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.38,0.3,0.05,1.4,97.63,5.49,56.35,13.04,3.47,8.25,28.92,0.6,14.36,0.0,12.9,0.0,0.0,0.0,0.0
AST,1987,5,-24.5,124.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.22,0.3,9.36,97.0,4.72,38.17,16.97,1.52,9.24,29.98,5.59,13.3,0.0,17.74,0.0,0.0,0.0,0.0
AST,1986,12,-28.0,126.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.12,0.33,10.2,96.61,5.6,25.99,27.77,3.87,15.82,45.79,10.57,18.88,0.0,30.64,0.0,0.0,0.0,0.0
AST,1995,5,-20.5,126.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.26,0.2,0.04,1.16,98.16,5.99,36.96,21.56,5.26,13.41,34.72,10.34,14.02,0.0,22.23,0.0,0.0,0.0,0.0
AST,1994,1,-29.5,129.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.33,0.16,0.08,2.34,98.59,6.99,36.95,26.67,8.0,17.34,47.14,12.99,19.32,0.0,29.97,0.0,0.0,0.0,0.0
AST,1991,12,-27.5,130.5,30.3,13.43,8.82,0.0,29.2,0.0,0.0,0.0,0.0,45.81,0.0,33.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.25,0.0,0.0,0.0,0.0,0.0
ARG,2024,5,-33.5,-66.5,25.23,4.82,3.49,16.76,10.96,0.6,0.01,0.59,0.13,45.87,6.0,13.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.24,0.0,0.0,0.0,0.0,0.0
AST,1992,11,-21.0,131.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.16,0.13,3.99,95.78,6.18,23.53,29.67,5.09,17.38,43.3,15.6,16.01,0.0,32.01,0.0,0.0,0.0,0.0
ARG,2023,4,-32.0,-65.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.53,0.53,2.0,60.15,95.17,9.53,66.63,19.23,12.17,15.7,31.36,7.78,12.4,0.0,19.52,923.03,0.0,706.33,0.0
AST,1997,1,-22.5,126.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.23,2.19,67.85,96.02,11.86,40.99,31.83,15.25,23.54,42.52,22.0,12.36,0.0,34.17,0.0,0.0,0.0,0.0
AST,1998,8,-28.0,124.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.38,0.35,0.06,1.81,97.17,5.23,50.38,15.29,3.69,9.49,31.42,3.38,16.1,0.0,15.55,0.0,0.0,0.0,0.0
AST,1984,9,-20.5,125.5,31.07,10.78,7.7,0.0,24.43,0.0,0.0,0.0,0.0,32.53,0.0,26.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.69,0.0,0.0,0.0,0.0,0.0
